Lat,Lng,City,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
18.3851,42.4509,faya,35,22.06,21,2.6,SA,1666108228
58.0948,6.8047,farsund,100,13.3,0,7.65,NO,1666108228
-42.7826,147.0587,new norfolk,58,11.72,12,1.34,AU,1666108230
42.097,-79.2353,jamestown,77,5.77,100,9.77,US,1666107934
36.0564,103.7922,lanzhou,48,14.53,59,1.2,CN,1666108230
-54.8,-68.3,ushuaia,81,8.81,75,3.09,AR,1666108231
42.6001,-73.9662,albany,74,10.36,29,2.1,US,1666108231
-24.8667,113.6333,carnarvon,76,20.02,0,7.46,AU,1666108232
66.9395,-53.6735,sisimiut,98,2.72,100,3.79,GL,1666108235
-21.3393,55.4781,saint-pierre,68,22.82,0,5.14,RE,1666108236
-22.8375,-51.9731,colorado,86,20.36,96,4.69,BR,1666107965
59.7035,30.7861,nikolskoye,90,8.94,100,3.22,RU,1666108237
-3.2778,-39.2689,trairi,51,31.07,34,8.09,BR,1666108038
58.4619,56.4165,dobryanka,93,5.63,100,3.55,RU,1666108237
77.484,-69.3632,qaanaaq,74,-17.32,86,3.36,GL,1666108238
-46.1927,168.8643,mataura,96,2.89,97,1.36,NZ,1666108238
71.9667,102.5,khatanga,96,-3.46,100,9.84,RU,1666108239
65.6145,-37.6368,tasiilaq,84,2.39,99,2.38,GL,1666108239
71.6872,128.8694,tiksi,93,-13.6,100,3.09,RU,1666108240
-0.7393,-90.3518,puerto ayora,82,22.98,41,1.79,EC,1666108242
-21.2078,-159.775,avarua,73,22.03,20,2.57,CK,1666108220
27.4763,-99.5164,nuevo laredo,87,12.15,75,3.6,MX,1666108147
-16.3494,-53.7583,guiratinga,14,38.35,22,3.1,BR,1666108243
-23.1203,-134.9692,rikitea,65,20.41,77,9.23,PF,1666108244
62.55,155.55,dukat,95,-15.51,100,5.37,RU,1666108244
-35.3333,-72.4167,constitucion,61,15.04,79,3.61,CL,1666108245
48.3835,-77.2328,senneterre,90,4.66,100,1.18,CA,1666108245
-20.3428,57.7575,bambous virieux,68,22.14,75,3.6,MU,1666108246
